#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1950	1450	2340775	2340775.0	59344	59344.0
1950	1200	2340775	2340775.0	59413	59413.0
1950	350	2340775	2340775.0	59342	59342.0
1950	100	2340775	2340775.0	59324	59324.0
1950	550	2340775	2340775.0	59319	59319.0
1900	450	2340775	2340775.0	58419	58419.0
1900	750	2340775	2340775.0	58628	58628.0
1950	1300	2340775	2340775.0	58897	58897.0
1900	300	2340775	2340775.0	54556	54556.0
1950	200	2340775	2340775.0	59470	59470.0
1900	600	2340775	2340775.0	58469	58469.0
1950	250	2340775	2340775.0	59164	59164.0
1950	400	2340775	2340775.0	59184	59184.0
1950	650	2340775	2340775.0	59304	59304.0
1950	500	2340775	2340775.0	59071	59071.0
1950	1400	2340775	2340775.0	59475	59475.0
1950	300	2340775	2340775.0	59225	59225.0
1900	700	2340775	2340775.0	58458	58458.0
1900	250	2340775	2340775.0	58471	58471.0
1900	550	2340775	2340775.0	54587	54587.0
1900	850	2340775	2340775.0	58740	58740.0
1900	900	2340775	2340775.0	59092	59092.0
1900	400	2340775	2340775.0	58345	58345.0
1950	50	2340775	2340775.0	59500	59500.0
1950	600	2340775	2340775.0	59194	59194.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1950	800	355766	355766.0	59352	59352.0
1950	750	355766	355766.0	59153	59153.0
1950	950	355766	355766.0	59475	59475.0
1950	700	355766	355766.0	59440	59440.0
1950	900	355766	355766.0	59218	59218.0
1950	850	355766	355766.0	59128	59128.0
