#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1200	300	1863260	1863260.0	98021	98021.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1200	875	1905118	1905118.0	147108	147108.0
1225	900	1905118	1905118.0	147337	147337.0
1225	925	1905118	1905118.0	145106	145106.0
1200	900	1905118	1905118.0	147271	147271.0
1225	1000	1905118	1905118.0	148060	148060.0
1200	925	1905118	1905118.0	146531	146531.0
1225	800	1905118	1905118.0	148045	148045.0
1225	825	1905118	1905118.0	147870	147870.0
1200	950	1905118	1905118.0	137603	137603.0
1225	875	1905118	1905118.0	147795	147795.0
1200	975	1905118	1905118.0	147394	147394.0
1225	850	1905118	1905118.0	147592	147592.0
1200	850	1905118	1905118.0	147406	147406.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1250	925	1902944	1902944.0	148396	148396.0
1275	1000	1902944	1902944.0	149092	149092.0
1250	700	1902944	1902944.0	99165	99165.0
1250	850	1902944	1902944.0	145207	145207.0
1275	850	1902944	1902944.0	149509	149509.0
1250	875	1902944	1902944.0	136104	136104.0
1275	1050	1902944	1902944.0	149299	149299.0
1250	800	1902944	1902944.0	86426	86426.0
1250	950	1902944	1902944.0	147416	147416.0
1275	875	1902944	1902944.0	149774	149774.0
1250	975	1902944	1902944.0	149022	149022.0
1275	1025	1902944	1902944.0	150002	150002.0
1250	750	1902944	1902944.0	98786	98786.0
1250	900	1902944	1902944.0	144746	144746.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1275	975	599432	599432.0	149921	149921.0
1275	900	599432	599432.0	149852	149852.0
1275	950	599432	599432.0	149306	149306.0
1275	925	599432	599432.0	150353	150353.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1300	250	1965572	1965572.0	91310	91310.0
1300	300	1965572	1965572.0	98326	98326.0
1300	150	1965572	1965572.0	99717	99717.0
1300	600	1965572	1965572.0	99809	99809.0
1300	450	1965572	1965572.0	98399	98399.0
1300	500	1965572	1965572.0	100363	100363.0
1300	1025	1965572	1965572.0	148973	148973.0
1300	350	1965572	1965572.0	97604	97604.0
1300	0	1965572	1965572.0	98944	98944.0
1300	650	1965572	1965572.0	100225	100225.0
1300	550	1965572	1965572.0	100364	100364.0
1300	1075	1965572	1965572.0	150759	150759.0
1300	200	1965572	1965572.0	96697	96697.0
1300	1000	1965572	1965572.0	146605	146605.0
1300	50	1965572	1965572.0	94899	94899.0
1300	1050	1965572	1965572.0	148781	148781.0
1300	100	1965572	1965572.0	98710	98710.0
1300	400	1965572	1965572.0	95087	95087.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1325	1025	1909780	1909780.0	151086	151086.0
1325	1100	1909780	1909780.0	151197	151197.0
1300	950	1909780	1909780.0	150532	150532.0
1325	900	1909780	1909780.0	150591	150591.0
1325	1050	1909780	1909780.0	150817	150817.0
1300	800	1909780	1909780.0	100627	100627.0
1300	925	1909780	1909780.0	149998	149998.0
1300	700	1909780	1909780.0	100620	100620.0
1325	1000	1909780	1909780.0	151314	151314.0
1325	1075	1909780	1909780.0	151540	151540.0
1300	850	1909780	1909780.0	99792	99792.0
1300	975	1909780	1909780.0	150501	150501.0
1300	900	1909780	1909780.0	150467	150467.0
